
2024/11/10 (15:26:59) | ===> btop++ v.1.4.0
2024/11/10 (15:26:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (15:58:32) | ===> btop++ v.1.4.0
2024/11/10 (15:58:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (15:58:38) | ===> btop++ v.1.4.0
2024/11/10 (15:58:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (16:25:46) | ===> btop++ v.1.4.0
2024/11/10 (16:25:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (16:28:00) | ===> btop++ v.1.4.0
2024/11/10 (16:28:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (16:39:19) | ===> btop++ v.1.4.0
2024/11/10 (16:39:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (18:03:31) | ===> btop++ v.1.4.0
2024/11/10 (18:03:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (13:03:24) | ===> btop++ v.1.4.0
2024/11/11 (13:03:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (17:01:28) | ===> btop++ v.1.4.0
2024/11/11 (17:01:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (17:02:10) | ===> btop++ v.1.4.0
2024/11/11 (17:02:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (19:21:33) | ===> btop++ v.1.4.0
2024/11/12 (19:21:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:57:07) | ===> btop++ v.1.4.0
2024/11/13 (12:57:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:57:17) | ===> btop++ v.1.4.0
2024/11/13 (12:57:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (15:49:43) | ===> btop++ v.1.4.0
2024/11/16 (15:49:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (14:18:45) | ===> btop++ v.1.4.0
2024/11/18 (14:18:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (14:19:57) | ===> btop++ v.1.4.0
2024/11/18 (14:19:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (14:20:07) | ===> btop++ v.1.4.0
2024/11/18 (14:20:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (14:23:11) | ===> btop++ v.1.4.0
2024/11/18 (14:23:11) | WARNING: Intel GPU: Failed to initialize PMU
